大型客车和A3/B1/B2,A1
牵引车和B1/B2,A2
城市公交车和C1,A3
中型客车和C1/M,B1
大型货车和C1/M,B2
小型汽车和C2/C3,C1
小型自动挡汽车,C2
低速载货汽车和C4,C3
三轮汽车,C4
残疾人专用小型自动挡载客汽车,C5
普通三轮摩托车和E,D
普通二轮摩托车和F,E
轻便摩托车,F
轮式自行机械车,M
无轨电车,N
有轨电车,P
